wavelength_um,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,eta,conservation_plus,conservation_minus
1.568200000000000038e+01,8.696306611702461220e-01,0.000000000000000000e+00,1.303693388297538780e-01,3.259777153438967456e-01,0.000000000000000000e+00,6.740222846561032544e-01,6.740222846561032544e-01,5.436529458263493764e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.568399999999999928e+01,8.724807692119304070e-01,0.000000000000000000e+00,1.275192307880695930e-01,2.992027399152615841e-01,0.000000000000000000e+00,7.007972600847384159e-01,7.007972600847384159e-01,5.732780292966688229e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.568599999999999994e+01,8.752207508383981205e-01,0.000000000000000000e+00,1.247792491616018795e-01,2.751635472588954689e-01,0.000000000000000000e+00,7.248364527411045311e-01,7.248364527411045311e-01,6.000572035795026515e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.568800000000000061e+01,8.778562972956172050e-01,0.000000000000000000e+00,1.221437027043827950e-01,2.546440398882544032e-01,0.000000000000000000e+00,7.453559601117456523e-01,7.453559601117456523e-01,6.232122574073628574e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.568999999999999950e+01,8.803927351825979741e-01,0.000000000000000000e+00,1.196072648174020259e-01,2.383678631886509414e-01,0.000000000000000000e+00,7.616321368113490031e-01,7.616321368113490031e-01,6.420248719939469773e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.569200000000000017e+01,8.828350538739785369e-01,0.000000000000000000e+00,1.171649461260214631e-01,2.269375720831147969e-01,0.000000000000000000e+00,7.730624279168851753e-01,7.730624279168851753e-01,6.558974817908637123e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.569400000000000084e+01,8.851879307320265067e-01,0.000000000000000000e+00,1.148120692679734933e-01,2.207788657420821088e-01,0.000000000000000000e+00,7.792211342579178357e-01,7.792211342579178357e-01,6.644090649899443424e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.569599999999999973e+01,8.874557541250882586e-01,0.000000000000000000e+00,1.125442458749117414e-01,2.200991402448386758e-01,0.000000000000000000e+00,7.799008597551613242e-01,7.799008597551613242e-01,6.673566138802495828e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.569800000000000040e+01,8.896426445311895748e-01,0.000000000000000000e+00,1.103573554688104252e-01,2.248678217395334855e-01,0.000000000000000000e+00,7.751321782604665422e-01,7.751321782604665422e-01,6.647748227916561170e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.569999999999999929e+01,8.917524739070723516e-01,0.000000000000000000e+00,1.082475260929276484e-01,2.348220597271250820e-01,0.000000000000000000e+00,7.651779402728748902e-01,7.651779402728748902e-01,6.569304141799472418e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.570199999999999996e+01,8.937888834593242793e-01,0.000000000000000000e+00,1.062111165406757207e-01,2.494964378465954480e-01,0.000000000000000000e+00,7.505035621534045243e-01,7.505035621534045243e-01,6.442924456127288035e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.570400000000000063e+01,8.957552999558893170e-01,0.000000000000000000e+00,1.042447000441106830e-01,2.682708875821203098e-01,0.000000000000000000e+00,7.317291124178797457e-01,7.317291124178797457e-01,6.274844123737690627e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.570599999999999952e+01,8.976549507412785456e-01,0.000000000000000000e+00,1.023450492587214544e-01,2.904282514235486667e-01,0.000000000000000000e+00,7.095717485764513333e-01,7.095717485764513333e-01,6.072266993177298788e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.570800000000000018e+01,8.994908775309844451e-01,0.000000000000000000e+00,1.005091224690155549e-01,3.152124995147101427e-01,0.000000000000000000e+00,6.847875004852899128e-01,6.847875004852899128e-01,5.842783780162743579e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.571000000000000085e+01,9.012659491121608468e-01,0.000000000000000000e+00,9.873405088783915318e-02,3.418801769453286843e-01,0.000000000000000000e+00,6.581198230546713157e-01,6.581198230546713157e-01,5.593857721668321625e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.571199999999999974e+01,9.029828730549970262e-01,0.000000000000000000e+00,9.701712694500297385e-02,3.697403962237625907e-01,0.000000000000000000e+00,6.302596037762373538e-01,6.302596037762373538e-01,5.332424768312343799e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.571400000000000041e+01,9.046442065284696632e-01,0.000000000000000000e+00,9.535579347153033680e-02,3.981816175366519328e-01,0.000000000000000000e+00,6.018183824633480672e-01,6.018183824633480672e-01,5.064625889918177304e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.571599999999999930e+01,9.062523662342759634e-01,0.000000000000000000e+00,9.374763376572403661e-02,4.266858468218148737e-01,0.000000000000000000e+00,5.733141531781851263e-01,5.733141531781851263e-01,4.795665194124610897e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.571799999999999997e+01,9.078096376255041511e-01,0.000000000000000000e+00,9.219036237449584892e-02,4.548323904556497155e-01,0.000000000000000000e+00,5.451676095443502845e-01,5.451676095443502845e-01,4.529772471698544356e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.572000000000000064e+01,9.093181834174254297e-01,0.000000000000000000e+00,9.068181658257457034e-02,4.822939427049924843e-01,0.000000000000000000e+00,5.177060572950075157e-01,5.177060572950075157e-01,4.270242407124329453e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.572199999999999953e+01,9.107800514677751869e-01,0.000000000000000000e+00,8.921994853222481314e-02,5.088277584851185198e-01,0.000000000000000000e+00,4.911722415148814802e-01,4.911722415148814802e-01,4.019522929826566671e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.572400000000000020e+01,9.121971820514895857e-01,0.000000000000000000e+00,8.780281794851041433e-02,5.342642486667394941e-01,0.000000000000000000e+00,4.657357513332605059e-01,4.657357513332605059e-01,3.779329333847500916e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.572599999999999909e+01,9.135714146062982044e-01,0.000000000000000000e+00,8.642858539370179560e-02,5.584947620043586580e-01,0.000000000000000000e+00,4.415052379956413420e-01,4.415052379956413420e-01,3.550766526019395464e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.572799999999999976e+01,9.149044940422530470e-01,0.000000000000000000e+00,8.509550595774695303e-02,5.814597464729116538e-01,0.000000000000000000e+00,4.185402535270883462e-01,4.185402535270883462e-01,3.334447475693413931e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.573000000000000043e+01,9.161980764954140710e-01,0.000000000000000000e+00,8.380192350458592898e-02,6.031379991801536500e-01,0.000000000000000000e+00,3.968620008198463500e-01,3.968620008198463500e-01,3.130600773152604210e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.573199999999999932e+01,9.174537347667088838e-01,0.000000000000000000e+00,8.254626523329111620e-02,6.235373487987757590e-01,0.000000000000000000e+00,3.764626512012242410e-01,3.764626512012242410e-01,2.939163859679331248e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.573399999999999999e+01,9.186729633340480206e-01,0.000000000000000000e+00,8.132703666595197944e-02,6.426868633846967160e-01,0.000000000000000000e+00,3.573131366153032840e-01,3.573131366153032840e-01,2.759860999493513045e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.573600000000000065e+01,9.198571830145819694e-01,0.000000000000000000e+00,8.014281698541803056e-02,6.606305207589995288e-01,0.000000000000000000e+00,3.393694792410004712e-01,3.393694792410004712e-01,2.592266622555824407e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.573799999999999955e+01,9.210077453082096133e-01,0.000000000000000000e+00,7.899225469179038672e-02,6.774221936588119553e-01,0.000000000000000000e+00,3.225778063411880447e-01,3.225778063411880447e-01,2.435855516493976580e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.574000000000000021e+01,9.221259364581761986e-01,0.000000000000000000e+00,7.787406354182380142e-02,6.931217656393487969e-01,0.000000000000000000e+00,3.068782343606512031e-01,3.068782343606512031e-01,2.290041708188274017e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.574200000000000088e+01,9.232129812249053602e-01,0.000000000000000000e+00,7.678701877509463980e-02,7.077921881479104504e-01,0.000000000000000000e+00,2.922078118520895496e-01,2.922078118520895496e-01,2.154207930769949098e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.574399999999999977e+01,9.242700463841927450e-01,0.000000000000000000e+00,7.572995361580725504e-02,7.214973011455145802e-01,0.000000000000000000e+00,2.785026988544854198e-01,2.785026988544854198e-01,2.027727452386781648e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.574600000000000044e+01,9.252982440401288367e-01,0.000000000000000000e+00,7.470175595987116335e-02,7.343002604863425598e-01,0.000000000000000000e+00,2.656997395136574402e-01,2.656997395136574402e-01,1.909979835537862769e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.574799999999999933e+01,9.262986346850661246e-01,0.000000000000000000e+00,7.370136531493387544e-02,7.462624386704149737e-01,0.000000000000000000e+00,2.537375613295850263e-01,2.537375613295850263e-01,1.800361960146511509e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.575000000000000000e+01,9.272722300534793627e-01,0.000000000000000000e+00,7.272776994652063731e-02,7.574426890234228216e-01,0.000000000000000000e+00,2.425573109765771784e-01,2.425573109765771784e-01,1.698295410300565411e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.575200000000000067e+01,9.282199958473980050e-01,0.000000000000000000e+00,7.178000415260199496e-02,7.678968845655151920e-01,0.000000000000000000e+00,2.321031154344848080e-01,2.321031154344848080e-01,1.603231112818828130e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.575399999999999956e+01,9.291428542086381803e-01,0.000000000000000000e+00,7.085714579136181968e-02,7.776776610171093340e-01,0.000000000000000000e+00,2.223223389828906660e-01,2.223223389828906660e-01,1.514651931915288463e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.575600000000000023e+01,9.300416860836246968e-01,0.000000000000000000e+00,6.995831391637530317e-02,7.868343090266075590e-01,0.000000000000000000e+00,2.131656909733924410e-01,2.131656909733924410e-01,1.432073770570171378e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.575799999999999912e+01,9.309173334421322332e-01,0.000000000000000000e+00,6.908266655786776678e-02,7.954127731071728435e-01,0.000000000000000000e+00,2.045872268928271565e-01,2.045872268928271565e-01,1.355045603349593897e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.575999999999999979e+01,9.317706013331359394e-01,0.000000000000000000e+00,6.822939866686406063e-02,8.034557248730229695e-01,0.000000000000000000e+00,1.965442751269770305e-01,1.965442751269770305e-01,1.283148764601129699e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.576200000000000045e+01,9.326022598153390630e-01,0.000000000000000000e+00,6.739774018466093697e-02,8.110026861891166394e-01,0.000000000000000000e+00,1.889973138108833606e-01,1.889973138108833606e-01,1.215995736262224236e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.576399999999999935e+01,9.334130458045031276e-01,0.000000000000000000e+00,6.658695419549687244e-02,8.180901840809274850e-01,0.000000000000000000e+00,1.819098159190725150e-01,1.819098159190725150e-01,1.153228617235756426e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.576600000000000001e+01,9.342036647617988354e-01,0.000000000000000000e+00,6.579633523820116459e-02,8.247519239401752689e-01,0.000000000000000000e+00,1.752480760598247311e-01,1.752480760598247311e-01,1.094517408216235665e-01,1.000000000000000000e+00,1.000000000000000000e+00
