wavelength_um,metallic_tm_R,metallic_tm_T,metallic_tm_emissivity,metallic_te_R,metallic_te_T,metallic_te_emissivity,insulating_tm_R,insulating_tm_T,insulating_tm_emissivity,insulating_te_R,insulating_te_T,insulating_te_emissivity
9.025000000000000355e+00,2.664627847931909377e-02,5.274230015874738567e-03,9.680794915048061000e-01,7.307138370872290345e-02,1.423340364234768583e-03,9.255052759270423479e-01,9.804038217806280153e-01,7.934669190652549400e-03,1.166150902871943527e-02,9.795924248872980300e-01,7.599611339943346949e-03,1.280796377275862305e-02
9.029999999999999361e+00,2.671912110849443411e-02,5.227730053389288527e-03,9.680531488381163285e-01,7.326525557042054548e-02,1.422483424805326760e-03,9.253122610047741503e-01,9.804139486070250209e-01,7.934580751596444909e-03,1.165147064137853419e-02,9.795908732003476560e-01,7.603683524240442693e-03,1.280544327541190130e-02
9.035000000000000142e+00,2.679394888880128403e-02,5.182046839678322581e-03,9.680240042715204662e-01,7.345900606337044114e-02,1.421631003753915171e-03,9.251193629328756662e-01,9.804239207593653527e-01,7.934554787609689186e-03,1.164152445302495814e-02,9.795893777931022894e-01,7.607738132176589292e-03,1.280288407472112214e-02
9.039999999999999147e+00,2.687065081881066797e-02,5.137162709519163713e-03,9.679921864716701796e-01,7.365263544951122787e-02,1.420783078318238512e-03,9.249265814721704393e-01,9.804337434412438990e-01,7.934588983551432370e-03,1.163166757520466867e-02,9.795879386209657147e-01,7.611775153799253159e-03,1.280028622523503301e-02
9.044999999999999929e+00,2.694912062557467888e-02,5.093060417433509582e-03,9.679578189569918445e-01,7.384614399154712516e-02,1.419939625887110422e-03,9.247339163825657460e-01,9.804434216819937209e-01,7.934681107719394888e-03,1.162189721028688422e-02,9.795865556380110029e-01,7.615794579503120353e-03,1.279764978248587592e-02
9.050000000000000711e+00,2.702925656693819928e-02,5.049723128519502217e-03,9.679210203045423011e-01,7.403953195292130307e-02,1.419100623999296857e-03,9.245413674230793522e-01,9.804529603436469287e-01,7.934829008284023655e-03,1.161221064806904762e-02,9.795852287970026051e-01,7.619796400029234425e-03,1.279497480296816134e-02
9.054999999999999716e+00,2.711096124216358372e-02,5.007134409349971345e-03,9.678819043484864215e-01,7.423279959778734949e-02,1.418266050342247356e-03,9.243489343518703771e-01,9.804623641275717061e-01,7.935030609900051504e-03,1.160260526252824241e-02,9.795839580494073440e-01,7.623780606464155077e-03,1.279226134412850095e-02
9.060000000000000497e+00,2.719414141051512690e-02,4.965278218951885321e-03,9.678405803705329991e-01,7.442594719098130640e-02,1.417435882750859482e-03,9.241566169262678265e-01,9.804716375807891460e-01,7.935283910485166001e-03,1.159307850872568803e-02,9.795827433453980770e-01,7.627747190238960695e-03,1.278950946436296227e-02
9.064999999999999503e+00,2.727870781745933559e-02,4.924138899877333019e-03,9.677971532826633583e-01,7.461897499799524658e-02,1.416610099206338244e-03,9.239644149027983477e-01,9.804807851020025389e-01,7.935586978156735846e-03,1.158362791984072528e-02,9.795815846338632449e-01,7.631696143128445173e-03,1.278671922300830995e-02
9.070000000000000284e+00,2.736457502820913504e-02,4.883701169379766130e-03,9.677517238024111457e-01,7.481188328495207152e-02,1.415788677834957073e-03,9.237723280372129864e-01,9.804898109473515477e-01,7.935937948317452889e-03,1.157425110433099938e-02,9.795804818624200827e-01,7.635627457250097894e-03,1.278389068032981940e-02
