wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
16.4852000000,16485.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9631168333,0.0000000000,0.0368831667,0.9698703515,0.0000000000,0.0301296485,0.0301296485,0.0368831667,0.0067535182,1.0000000000,1.0000000000
16.4864000000,16486.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9632735494,0.0000000000,0.0367264506,0.9698901612,0.0000000000,0.0301098388,0.0301098388,0.0367264506,0.0066166118,1.0000000000,1.0000000000
16.4876000000,16487.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9634199200,0.0000000000,0.0365800800,0.9699097088,0.0000000000,0.0300902912,0.0300902912,0.0365800800,0.0064897888,1.0000000000,1.0000000000
16.4888000000,16488.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9635567257,0.0000000000,0.0364432743,0.9699289925,0.0000000000,0.0300710075,0.0300710075,0.0364432743,0.0063722668,1.0000000000,1.0000000000
16.4900000000,16490.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9636846710,0.0000000000,0.0363153290,0.9699480105,0.0000000000,0.0300519895,0.0300519895,0.0363153290,0.0062633394,1.0000000000,1.0000000000
16.4912000000,16491.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9638043928,0.0000000000,0.0361956072,0.9699667609,0.0000000000,0.0300332391,0.0300332391,0.0361956072,0.0061623681,1.0000000000,1.0000000000
16.4924000000,16492.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9639164674,0.0000000000,0.0360835326,0.9699852420,0.0000000000,0.0300147580,0.0300147580,0.0360835326,0.0060687745,1.0000000000,1.0000000000
16.4936000000,16493.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9640214174,0.0000000000,0.0359785826,0.9700034516,0.0000000000,0.0299965484,0.0299965484,0.0359785826,0.0059820342,1.0000000000,1.0000000000
16.4948000000,16494.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9641197169,0.0000000000,0.0358802831,0.9700213879,0.0000000000,0.0299786121,0.0299786121,0.0358802831,0.0059016711,1.0000000000,1.0000000000
16.4960000000,16496.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9642117969,0.0000000000,0.0357882031,0.9700390489,0.0000000000,0.0299609511,0.0299609511,0.0357882031,0.0058272521,1.0000000000,1.0000000000
16.4972000000,16497.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9642980495,0.0000000000,0.0357019505,0.9700564325,0.0000000000,0.0299435675,0.0299435675,0.0357019505,0.0057583830,1.0000000000,1.0000000000
16.4984000000,16498.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9643788321,0.0000000000,0.0356211679,0.9700735365,0.0000000000,0.0299264635,0.0299264635,0.0356211679,0.0056947044,1.0000000000,1.0000000000
16.4996000000,16499.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9644544703,0.0000000000,0.0355455297,0.9700903589,0.0000000000,0.0299096411,0.0299096411,0.0355455297,0.0056358886,1.0000000000,1.0000000000
16.5008000000,16500.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9645252615,0.0000000000,0.0354747385,0.9701068975,0.0000000000,0.0298931025,0.0298931025,0.0354747385,0.0055816360,1.0000000000,1.0000000000
16.5020000000,16502.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9645914774,0.0000000000,0.0354085226,0.9701231500,0.0000000000,0.0298768500,0.0298768500,0.0354085226,0.0055316726,1.0000000000,1.0000000000
16.5032000000,16503.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9646533665,0.0000000000,0.0353466335,0.9701391142,0.0000000000,0.0298608858,0.0298608858,0.0353466335,0.0054857476,1.0000000000,1.0000000000
16.5044000000,16504.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9647111563,0.0000000000,0.0352888437,0.9701547878,0.0000000000,0.0298452122,0.0298452122,0.0352888437,0.0054436315,1.0000000000,1.0000000000
16.5056000000,16505.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9647650549,0.0000000000,0.0352349451,0.9701701684,0.0000000000,0.0298298316,0.0298298316,0.0352349451,0.0054051135,1.0000000000,1.0000000000
16.5068000000,16506.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9648152533,0.0000000000,0.0351847467,0.9701852536,0.0000000000,0.0298147464,0.0298147464,0.0351847467,0.0053700003,1.0000000000,1.0000000000
16.5080000000,16508.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9648619266,0.0000000000,0.0351380734,0.9702000411,0.0000000000,0.0297999589,0.0297999589,0.0351380734,0.0053381146,1.0000000000,1.0000000000
16.5092000000,16509.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9649052352,0.0000000000,0.0350947648,0.9702145284,0.0000000000,0.0297854716,0.0297854716,0.0350947648,0.0053092932,1.0000000000,1.0000000000
16.5104000000,16510.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9649453266,0.0000000000,0.0350546734,0.9702287130,0.0000000000,0.0297712870,0.0297712870,0.0350546734,0.0052833863,1.0000000000,1.0000000000
16.5116000000,16511.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9649823361,0.0000000000,0.0350176639,0.9702425923,0.0000000000,0.0297574077,0.0297574077,0.0350176639,0.0052602562,1.0000000000,1.0000000000
16.5128000000,16512.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9650163879,0.0000000000,0.0349836121,0.9702561637,0.0000000000,0.0297438363,0.0297438363,0.0349836121,0.0052397759,1.0000000000,1.0000000000
16.5140000000,16514.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9650475959,0.0000000000,0.0349524041,0.9702694247,0.0000000000,0.0297305753,0.0297305753,0.0349524041,0.0052218288,1.0000000000,1.0000000000
16.5152000000,16515.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9650760648,0.0000000000,0.0349239352,0.9702823725,0.0000000000,0.0297176275,0.0297176275,0.0349239352,0.0052063077,1.0000000000,1.0000000000
16.5164000000,16516.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9651018908,0.0000000000,0.0348981092,0.9702950045,0.0000000000,0.0297049955,0.0297049955,0.0348981092,0.0051931137,1.0000000000,1.0000000000
16.5176000000,16517.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9651251619,0.0000000000,0.0348748381,0.9703073180,0.0000000000,0.0296926820,0.0296926820,0.0348748381,0.0051821560,1.0000000000,1.0000000000
16.5188000000,16518.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9651459590,0.0000000000,0.0348540410,0.9703193100,0.0000000000,0.0296806900,0.0296806900,0.0348540410,0.0051733511,1.0000000000,1.0000000000
16.5200000000,16520.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9651643559,0.0000000000,0.0348356441,0.9703309779,0.0000000000,0.0296690221,0.0296690221,0.0348356441,0.0051666220,1.0000000000,1.0000000000
16.5212000000,16521.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9651804205,0.0000000000,0.0348195795,0.9703423187,0.0000000000,0.0296576813,0.0296576813,0.0348195795,0.0051618982,1.0000000000,1.0000000000
16.5224000000,16522.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9651942147,0.0000000000,0.0348057853,0.9703533296,0.0000000000,0.0296466704,0.0296466704,0.0348057853,0.0051591149,1.0000000000,1.0000000000
16.5236000000,16523.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652057949,0.0000000000,0.0347942051,0.9703640075,0.0000000000,0.0296359925,0.0296359925,0.0347942051,0.0051582126,1.0000000000,1.0000000000
16.5248000000,16524.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652152124,0.0000000000,0.0347847876,0.9703743494,0.0000000000,0.0296256506,0.0296256506,0.0347847876,0.0051591370,1.0000000000,1.0000000000
16.5260000000,16526.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652225141,0.0000000000,0.0347774859,0.9703843524,0.0000000000,0.0296156476,0.0296156476,0.0347774859,0.0051618383,1.0000000000,1.0000000000
16.5272000000,16527.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652277422,0.0000000000,0.0347722578,0.9703940132,0.0000000000,0.0296059868,0.0296059868,0.0347722578,0.0051662710,1.0000000000,1.0000000000
16.5284000000,16528.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652309348,0.0000000000,0.0347690652,0.9704033288,0.0000000000,0.0295966712,0.0295966712,0.0347690652,0.0051723939,1.0000000000,1.0000000000
16.5296000000,16529.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652321264,0.0000000000,0.0347678736,0.9704122959,0.0000000000,0.0295877041,0.0295877041,0.0347678736,0.0051801695,1.0000000000,1.0000000000
16.5308000000,16530.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652313476,0.0000000000,0.0347686524,0.9704209114,0.0000000000,0.0295790886,0.0295790886,0.0347686524,0.0051895638,1.0000000000,1.0000000000
16.5320000000,16532.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9652286256,0.0000000000,0.0347713744,0.9704291718,0.0000000000,0.0295708282,0.0295708282,0.0347713744,0.0052005462,1.0000000000,1.0000000000
