wavelength_um,R,T,A,R_plus_T_plus_A
1.025249999999999995e+00,8.688218866899204418e-01,5.385888321152720057e-05,1.311242544268680366e-01,1.000000000000000000e+00
1.025500000000000078e+00,8.682394629313254786e-01,5.375537747906989597e-05,1.317067816911954570e-01,1.000000000000000000e+00
1.025749999999999940e+00,8.676499978238001454e-01,5.365187825368745891e-05,1.322963502979461747e-01,1.000000000000000000e+00
1.026000000000000023e+00,8.670534380404215646e-01,5.354838816450393325e-05,1.328930135714139205e-01,1.000000000000000000e+00
1.026249999999999885e+00,8.664497298403776027e-01,5.344490998398693146e-05,1.334968252496384067e-01,1.000000000000000000e+00
1.026499999999999968e+00,8.658388190842867260e-01,5.334144663338429189e-05,1.341078394690798925e-01,1.000000000000000000e+00
1.026750000000000052e+00,8.652206512499914792e-01,5.323800118836071713e-05,1.347261107488201548e-01,1.000000000000000000e+00
1.026999999999999913e+00,8.645951714495317963e-01,5.313457688481920102e-05,1.353516939735833757e-01,1.000000000000000000e+00
1.027249999999999996e+00,8.639623244465841623e-01,5.303117712491883188e-05,1.359846443762909307e-01,1.000000000000000000e+00
1.027500000000000080e+00,8.633220546749540425e-01,5.292780548327901741e-05,1.366250175195626859e-01,1.000000000000000000e+00
1.027749999999999941e+00,8.626743062579247390e-01,5.282446571339621333e-05,1.372728692763618696e-01,1.000000000000000000e+00
1.028000000000000025e+00,8.620190230285886823e-01,5.272116175425861368e-05,1.379282558096570632e-01,1.000000000000000000e+00
1.028249999999999886e+00,8.613561485512786220e-01,5.261789773718740558e-05,1.385912335509841831e-01,1.000000000000000000e+00
1.028499999999999970e+00,8.606856261438595723e-01,5.251467799286889095e-05,1.392618591781475679e-01,1.000000000000000000e+00
1.028750000000000053e+00,8.600073989013750086e-01,5.241150705863491086e-05,1.399401895915663441e-01,1.000000000000000000e+00
1.028999999999999915e+00,8.593214097208019542e-01,5.230838968594123172e-05,1.406262818895120947e-01,1.000000000000000000e+00
1.029249999999999998e+00,8.586276013269824592e-01,5.220533084809393578e-05,1.413201933421694423e-01,1.000000000000000000e+00
1.029500000000000082e+00,8.579259163000246824e-01,5.210233574819984187e-05,1.420219813642271123e-01,1.000000000000000000e+00
1.029749999999999943e+00,8.572162971040164781e-01,5.199940982736064789e-05,1.427317034861561584e-01,1.000000000000000000e+00
1.030000000000000027e+00,8.564986861170853505e-01,5.189655877308850805e-05,1.434494173241415704e-01,1.000000000000000000e+00
1.030249999999999888e+00,8.557730256633243604e-01,5.179378852799489688e-05,1.441751805481476523e-01,1.000000000000000000e+00
1.030499999999999972e+00,8.550392580458977543e-01,5.169110529869275607e-05,1.449090508488035667e-01,1.000000000000000000e+00
1.030750000000000055e+00,8.542973255821816325e-01,5.158851556498914655e-05,1.456510859022533688e-01,1.000000000000000000e+00
1.030999999999999917e+00,8.535471706405606263e-01,5.148602608928565401e-05,1.464013433333500869e-01,1.000000000000000000e+00
1.031250000000000000e+00,8.527887356788702578e-01,5.138364392625641798e-05,1.471598806772034806e-01,1.000000000000000000e+00
1.031500000000000083e+00,8.520219632853921476e-01,5.128137643280072824e-05,1.479267553381750644e-01,1.000000000000000000e+00
1.031749999999999945e+00,8.512467962212378891e-01,5.117923127822007154e-05,1.487020245474838798e-01,1.000000000000000000e+00
1.032000000000000028e+00,8.504631774652274823e-01,5.107721645466927130e-05,1.494857453183178475e-01,1.000000000000000000e+00
1.032249999999999890e+00,8.496710502609113869e-01,5.097534028786836441e-05,1.502779743988007510e-01,1.000000000000000000e+00
1.032499999999999973e+00,8.488703581661495301e-01,5.087361144808530498e-05,1.510787682224023765e-01,1.000000000000000000e+00
1.032750000000000057e+00,8.480610451048234966e-01,5.077203896135213746e-05,1.518881828562151648e-01,1.000000000000000000e+00
1.032999999999999918e+00,8.472430554213769005e-01,5.067063222096395678e-05,1.527062739464021268e-01,1.000000000000000000e+00
1.033250000000000002e+00,8.464163339379625617e-01,5.056940099922131254e-05,1.535330966610382042e-01,1.000000000000000000e+00
1.033500000000000085e+00,8.455808260144043187e-01,5.046835545942853239e-05,1.543687056301362437e-01,1.000000000000000000e+00
1.033749999999999947e+00,8.447364776111359053e-01,5.036750616815828470e-05,1.552131548826959362e-01,1.000000000000000000e+00
1.034000000000000030e+00,8.438832353551849463e-01,5.026686410773430994e-05,1.560664977807073306e-01,1.000000000000000000e+00
1.034249999999999892e+00,8.430210466094020250e-01,5.016644068899641046e-05,1.569287869499089716e-01,1.000000000000000000e+00
1.034499999999999975e+00,8.421498595448040358e-01,5.006624776424665113e-05,1.578000742074317231e-01,1.000000000000000000e+00
