wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
15.0140000000,15014.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9502353088,0.0000000000,0.0497646912,0.8365031264,0.0000000000,0.1634968736,0.1634968736,0.0497646912,0.1137321824,1.0000000000,1.0000000000
15.0150000000,15015.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9505725312,0.0000000000,0.0494274688,0.8379540978,0.0000000000,0.1620459022,0.1620459022,0.0494274688,0.1126184334,1.0000000000,1.0000000000
15.0160000000,15016.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9509123807,0.0000000000,0.0490876193,0.8395041824,0.0000000000,0.1604958176,0.1604958176,0.0490876193,0.1114081983,1.0000000000,1.0000000000
15.0170000000,15017.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9512537947,0.0000000000,0.0487462053,0.8411430304,0.0000000000,0.1588569696,0.1588569696,0.0487462053,0.1101107643,1.0000000000,1.0000000000
15.0180000000,15018.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9515957713,0.0000000000,0.0484042287,0.8428605354,0.0000000000,0.1571394646,0.1571394646,0.0484042287,0.1087352360,1.0000000000,1.0000000000
15.0190000000,15019.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9519373720,0.0000000000,0.0480626280,0.8446469133,0.0000000000,0.1553530867,0.1553530867,0.0480626280,0.1072904588,1.0000000000,1.0000000000
15.0200000000,15020.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9522777237,0.0000000000,0.0477222763,0.8464927683,0.0000000000,0.1535072317,0.1535072317,0.0477222763,0.1057849554,1.0000000000,1.0000000000
15.0210000000,15021.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9526160192,0.0000000000,0.0473839808,0.8483891444,0.0000000000,0.1516108556,0.1516108556,0.0473839808,0.1042268749,1.0000000000,1.0000000000
15.0220000000,15022.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9529515180,0.0000000000,0.0470484820,0.8503275646,0.0000000000,0.1496724354,0.1496724354,0.0470484820,0.1026239534,1.0000000000,1.0000000000
15.0230000000,15023.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9532835446,0.0000000000,0.0467164554,0.8523000582,0.0000000000,0.1476999418,0.1476999418,0.0467164554,0.1009834864,1.0000000000,1.0000000000
15.0240000000,15024.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9536114881,0.0000000000,0.0463885119,0.8542991777,0.0000000000,0.1457008223,0.1457008223,0.0463885119,0.0993123103,1.0000000000,1.0000000000
15.0250000000,15025.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9539347994,0.0000000000,0.0460652006,0.8563180065,0.0000000000,0.1436819935,0.1436819935,0.0460652006,0.0976167929,1.0000000000,1.0000000000
15.0260000000,15026.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9542529898,0.0000000000,0.0457470102,0.8583501587,0.0000000000,0.1416498413,0.1416498413,0.0457470102,0.0959028312,1.0000000000,1.0000000000
